href	user	timestamp	text	replies	reposts	likes	views
/SiaranBolaLive/status/1783710944918708451	Siaran Bola Live	2024-04-26T04:13:23.000Z	Tentang Penalty Ulang Justin Hubner:\n\nPenalty pertama, diblock kiper Korsel\nHubner: Terpukul, menangis!\nWasit: Penalty Ulang\nHubner Penalty kedua: Gol!\nMenangis sambil Penalti, baru ini terjadi\nPuncak Drama!\n\nAsa itu sempat mati suri\nTapi hidup kembali	275	2100	12091	735940
/MafiaWasit/status/1783805680371323299	Komisi Wasit	2024-04-26T10:29:50.000Z	“Indonesia Raya” adalah National Anthem di bola yang bikin merinding selain “Fratelli d'Italia” dan "The Star-Spangled Banner"	233	3248	16272	690263
/idextratime/status/1783676357647696021	Extra Time Indonesia	2024-04-26T01:55:57.000Z	Momen hampir pulang.. \n\n*Untungnya wasit memutuskan penalti diulang karena kiper bergerak lebih dulu. 	222	555	7923	374542
/AbiyuDaus/status/1783695053057351914	ＤａｕｓＡｂｉｙｕ	2024-04-26T03:10:14.000Z	Alhamdulillah, selain permainan timnas yg memang ciamik, jg kepemimpinan WASIT sbg pengadil di lapangan yg sangat jeli dan tegas melihat pelanggaran sekecil apapun dlm pertandingan tsb\nHasil akhir Indo VS Korsel 11 : 10 melalui adu pinalti\n\nWASIT fair, TIMNAS keren	2	10	88	13678
/firdahady/status/1783784102182953029	Bro ≠ Bos	2024-04-26T09:04:05.000Z	Kemenangan Timnas semalam tak lepas dari keputusan2 berani dan teliti dari semua perangkat pertandingan (wasit dan asisten VAR)	0	0	0	21
/SemutMerah2024/status/1783716880907456963	MAHKAMAH NETIZEN GANTI MK & DPR	2024-04-26T04:36:58.000Z	Wasit ini semalam yg menganulir 2 gol Korsel. Karena mangikuti fakta, aturan dan akal sehat. BISA NGGAK YA DINATURALISASI BIAR BISA JADI KETUA HAKIM MK???	76	127	1075	48466
/kegblgnunfaedh/status/1783870544280244277	Kegoblogan.Unfaedah	2024-04-26T14:47:35.000Z	Qatar tanpa wasit hanyalah kumpulan mas mas penjual minyak	32	39	1011	91727
/Lembayungsyahdu/status/1783833969173348387	Lembayung Senja 	2024-04-26T12:22:14.000Z	Eh... Ini bener g seh sebelum kemenangan ada kejadian kayak gini??\n\nKalau bener, tuh Indosiar wajib angkat cerita azab wasit mati kesedak peluit Krn berbuat curang saat pertandingan 	0	1	9	494
/berIalulalang/status/1783722109526831340	naa	2024-04-26T04:57:45.000Z	wasit: tin bisa ulang penalti?\n"bisa tapi sambil nangis" 	0	0	0	47
/kucingtelorasin/status/1783680213374976324	Kucingtelorasin	2024-04-26T02:11:16.000Z	Beliau memang wasit yang luar biasa 	0	0	2	50
/MafiaWasit/status/1783821293923791125	Komisi Wasit	2024-04-26T11:31:52.000Z	Tapi dari ratusan Panpel, hanya Panpel ini yang salah nyetel National Anthem tapi ga ada yang marah-marah!	19	86	427	75270
/Dielagi_dielagi/status/1783758949130359070	Bond nol nol tujuh	2024-04-26T07:24:08.000Z	Gerombolan yg sana klu gak dibantu wasit pasti kalah, Jogetin ajalah..	0	0	0	7
/FandomID_/status/1783838117071602141	Football Fandom	2024-04-26T12:38:43.000Z	Justin Hubner sempat gagal sebelum akhirnya wasit memutuskan kiper Korsel bikin pelanggaran yg berakibat penalti diulang.\n\nHubner sudah tampak menangis krn gagal. Mentalnya diuji untuk siap dg penalti yg diulang.\n\nMomen yg jaga asa 	17	195	1887	104735
/MafiaWasit/status/1783700259736375769	Komisi Wasit	2024-04-26T03:30:56.000Z	Negara ini dipecah belah oleh Pilpres dan hak angket sampai MK tapi mampu dipersatukan kembali oleh Timnas Indonesia.	208	2798	15673	352128
/erickthohir/status/1783739432891535676	Erick Thohir	2024-04-26T06:06:35.000Z	Apa yang sudah dicapai timnas sepak bola Indonesia saat ini, adalah hasil dari transformasi menyeluruh. Dalam wawancara dengan beIN Sports saya menjelaskan, selain meningkatkan level permainan, kami juga meningkatkan kompetisi wasit, membenahi infrastruktur, pengamanan, jadwal…	338	386	4483	248876
/yanuardss/status/1783805797417492698	𝕱𝖔𝖗𝖙𝖎𝖘 𝕱𝖔𝖗𝖙𝖚𝖓𝖆 𝕬𝖉𝖎𝖚𝖛𝖆𝖙	2024-04-26T10:30:18.000Z	alhamdulillah di ss wasit idola 	0	0	0	21
